2026-04-01 07:27:20,377 | INFO     | health_etl | ============================================================
2026-04-01 07:27:20,378 | INFO     | health_etl |   Health Analytics ETL Pipeline — Kisavi Shadrack
2026-04-01 07:27:20,378 | INFO     | health_etl | ============================================================
2026-04-01 07:27:20,378 | INFO     | health_etl.Extractor | Loading: patient_admissions.xlsx
2026-04-01 07:27:20,470 | INFO     | health_etl.Extractor |   → 420 rows loaded
2026-04-01 07:27:20,471 | INFO     | health_etl.Extractor | Loading: lab_results.xlsx
2026-04-01 07:27:20,568 | INFO     | health_etl.Extractor |   → 525 rows loaded
2026-04-01 07:27:20,568 | INFO     | health_etl.Extractor | Loading: outpatient_visits.xlsx
2026-04-01 07:27:20,681 | INFO     | health_etl.Extractor |   → 630 rows loaded
2026-04-01 07:27:20,681 | INFO     | health_etl.Transformer | Transforming admissions …
2026-04-01 07:27:20,701 | INFO     | health_etl.Transformer |   → 339 clean rows
2026-04-01 07:27:20,701 | INFO     | health_etl.Transformer | Transforming lab results …
2026-04-01 07:27:20,727 | INFO     | health_etl.Transformer |   → 422 clean rows
2026-04-01 07:27:20,727 | INFO     | health_etl.Transformer | Transforming outpatient visits …
2026-04-01 07:27:20,750 | INFO     | health_etl.Transformer |   → 503 clean rows
2026-04-01 07:27:20,859 | INFO     | health_etl.SQLiteLoader |   Loaded 339 admissions to SQLite
2026-04-01 07:27:20,889 | INFO     | health_etl.SQLiteLoader |   Loaded 422 lab results to SQLite
2026-04-01 07:27:20,919 | INFO     | health_etl.SQLiteLoader |   Loaded 503 OPD visits to SQLite
2026-04-01 07:27:20,934 | INFO     | health_etl | SQLite database → /home/claude/health_analytics_pipeline/data/health_analytics.db
2026-04-01 07:27:20,982 | INFO     | health_etl.ReportWriter | Report saved → /home/claude/health_analytics_pipeline/reports/etl_summary_report.xlsx
2026-04-01 07:27:20,982 | INFO     | health_etl | ============================================================
2026-04-01 07:27:20,983 | INFO     | health_etl | Pipeline complete.
2026-04-01 07:27:20,983 | INFO     | health_etl |   patient_admissions.xlsx: 420 raw → 339 clean (20 dupes, 61 rejected)
2026-04-01 07:27:20,983 | INFO     | health_etl |   lab_results.xlsx: 525 raw → 422 clean (25 dupes, 78 rejected)
2026-04-01 07:27:20,983 | INFO     | health_etl |   outpatient_visits.xlsx: 630 raw → 503 clean (30 dupes, 97 rejected)
2026-04-01 07:27:20,983 | INFO     | health_etl | ============================================================
